# >>> KLIBS INFO
# KLIBs Commit: b45b33a40147b5df56f58eddf022fca44eebf2c9
# random_seed: 1463075626.43
#
# >>> EYELINK SETTINGS
# Saccadic Velocity Threshold: 20
# Saccadic Acceleration Threshold: 5000
# Saccadic Motion Threshold: 0.15
#
# >>> EXPERIMENT SETTINGS
# Trials Per Block: 240
# Blocks Per Experiment: 2

participant	sex	age	handedness	block_num	trial_num	trial_type	toj_judgement_type	probe_initial_bias	block_bias	rotation	probe_loc	probe_color	probe_angle	probe_judgement	probe_judgement_color	p_minus_j	probe_rt	t1_loc	t1_type	toj_judgement	toj_rt	soa
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	1	TARGET	second	LEFT	LEFT	222	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	20.310959816	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	2	TARGET	second	LEFT	LEFT	129	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	8.20840907097	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	3	TARGET	second	LEFT	LEFT	239	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	8.72738814354	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	4	TARGET	second	LEFT	LEFT	209	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	VERTICAL	10.4849948883	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	5	TARGET	second	LEFT	LEFT	222	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	6.68242096901	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	6	TARGET	second	LEFT	LEFT	0	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	5.53949689865	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	7	TARGET	second	LEFT	LEFT	117	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	HORIZONTAL	6.87948608398	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	8	TARGET	second	LEFT	LEFT	246	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	5.97792100906	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	9	TARGET	second	LEFT	LEFT	194	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	7.92808294296	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	10	TARGET	second	LEFT	LEFT	214	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	22.1461970806	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	11	TARGET	second	LEFT	LEFT	313	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	17.487942934	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	12	TARGET	second	LEFT	LEFT	342	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	5.75579380989	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	13	TARGET	second	LEFT	LEFT	138	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	3.92232990265	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	14	TARGET	second	LEFT	LEFT	165	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	5.25159597397	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	15	TARGET	second	LEFT	LEFT	27	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	4.48283410072	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	16	TARGET	second	LEFT	LEFT	209	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	5.06643486023	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	17	TARGET	second	LEFT	LEFT	318	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	5.30411100388	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	18	TARGET	second	LEFT	LEFT	331	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	4.73631978035	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	19	TARGET	second	LEFT	LEFT	129	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	4.36655783653	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	20	TARGET	second	LEFT	LEFT	288	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	6.41223192215	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	21	TARGET	second	LEFT	LEFT	136	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	6.27980995178	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	22	TARGET	second	LEFT	LEFT	82	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	5.29546618462	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	23	TARGET	second	LEFT	LEFT	177	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	5.26936388016	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	24	TARGET	second	LEFT	LEFT	16	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	4.53541493416	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	25	TARGET	second	LEFT	LEFT	48	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	HORIZONTAL	4.90492391586	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	26	TARGET	second	LEFT	LEFT	191	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	5.12089204788	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	27	TARGET	second	LEFT	LEFT	120	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	3.643419981	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	28	TARGET	second	LEFT	LEFT	331	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	5.25022411346	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	29	TARGET	second	LEFT	LEFT	166	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	4.23144197464	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	30	TARGET	second	LEFT	LEFT	26	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	3.37598514557	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	31	TARGET	second	LEFT	LEFT	268	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	HORIZONTAL	5.14722299576	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	32	TARGET	second	LEFT	LEFT	319	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	6.78488898277	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	33	TARGET	second	LEFT	LEFT	23	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	3.80777001381	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	34	TARGET	second	LEFT	LEFT	204	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	3.60989809036	15
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	35	TARGET	second	LEFT	LEFT	247	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	3.98372101784	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	36	TARGET	second	LEFT	LEFT	323	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	5.66377282143	45
e94f157219a038ab2deb410b27eac12f6e622648	m	20	r	1	37	TARGET	second	LEFT	LEFT	266	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	8.164249897	45
