# >>> KLIBS INFO
# KLIBs Commit: 8c79f8d40505503984917299f44c6fe124bbfe05
# random_seed: 1462890018.06
#
# >>> EYELINK SETTINGS
# Saccadic Velocity Threshold: 20
# Saccadic Acceleration Threshold: 5000
# Saccadic Motion Threshold: 0.15
#
# >>> EXPERIMENT SETTINGS
# Trials Per Block: 240
# Blocks Per Experiment: 2

participant	sex	age	handedness	block_num	trial_num	trial_type	toj_judgement_type	probe_initial_bias	block_bias	rotation	probe_loc	probe_color	probe_angle	probe_judgement	probe_judgement_color	p_minus_j	probe_rt	t1_loc	t1_type	toj_judgement	toj_rt	soa
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	1	TARGET	first	LEFT	LEFT	131	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.67291593552	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	2	TARGET	first	LEFT	LEFT	352	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	2.54291319847	45
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	3	TARGET	first	LEFT	LEFT	142	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.45852303505	45
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	4	TARGET	first	LEFT	LEFT	277	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.7791261673	45
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	5	TARGET	first	LEFT	LEFT	19	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	2.62411117554	45
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	6	TARGET	first	LEFT	LEFT	30	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	VERTICAL	2.53715610504	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	7	TARGET	first	LEFT	LEFT	309	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.67725801468	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	8	TARGET	first	LEFT	LEFT	115	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.26104211807	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	9	TARGET	first	LEFT	LEFT	293	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	VERTICAL	2.3889799118	45
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	10	TARGET	first	LEFT	LEFT	2	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	2.26990199089	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	11	TARGET	first	LEFT	LEFT	80	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.18747091293	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	12	TARGET	first	LEFT	LEFT	214	NA	NA	NA	NA	NA	NA	NA	RIGHT	HORIZONTAL	HORIZONTAL	2.135668993	45
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	13	TARGET	first	LEFT	LEFT	326	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	2.37063002586	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	14	TARGET	first	LEFT	LEFT	182	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	2.314702034	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	15	TARGET	first	LEFT	LEFT	76	NA	NA	NA	NA	NA	NA	NA	RIGHT	VERTICAL	VERTICAL	2.14895319939	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	16	TARGET	first	LEFT	LEFT	130	NA	NA	NA	NA	NA	NA	NA	LEFT	VERTICAL	HORIZONTAL	2.3585729599	15
14ba0703cc4ab6f70b3326c3134d0e91049ed0c1	m	22	r	1	17	TARGET	first	LEFT	LEFT	260	NA	NA	NA	NA	NA	NA	NA	LEFT	HORIZONTAL	HORIZONTAL	2.90339207649	15
